k	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
131	0.727770506442383	0.398630631297968	0.237797139770253	0.323100805286724	0.718209532289271	0.674073220273486	0.584452249138951	0.509167125345912	0.46513705186936	0.477805091199559
141	0.71693486905074	0.388416928916775	0.22927898641811	0.316383172332498	0.694698779472943	0.653092616565277	0.576179560194248	0.506996612061749	0.475975507803995	0.527813678119483
151	0.71693486905074	0.366507080179731	0.229139637556031	0.323364778662298	0.694698768784441	0.651977180933292	0.577852632217159	0.526659302427168	0.477550172590559	0.475316140192178
161	0.71693486905074	0.366507080179731	0.229139680984506	0.320633915965016	0.694698768784441	0.652025420260028	0.577871096384524	0.5266803176925	0.477672775307152	0.475905836131197
171	0.668877953852697	0.366507080179731	0.233431220124898	0.308333929023374	0.662482631590281	0.632797429318828	0.565835863532982	0.508128415504013	0.455958505427293	0.453027579412253
181	0.668942374429538	0.366507080179731	0.223617474608655	0.291792118949526	0.66124838729629	0.627893905437436	0.553013938133984	0.484059731289899	0.438461069774673	0.452835047093016
191	0.668907338262881	0.366507080179731	0.223578579122981	0.291458571901007	0.66124140401463	0.627901143576626	0.552948944685843	0.484007727281015	0.438460664939935	0.452835953464625
201	0.668907338262881	0.366507080179731	0.223578267587579	0.291455637849924	0.661241404014587	0.627901143581005	0.55294894402711	0.484007717594832	0.4384606645578	0.452835966257734
211	0.510361096231162	0.366507080179731	0.22357587963857	0.286439319141132	0.494751094842471	0.506375963364669	0.52067998412713	0.522761146488018	0.47814492312715	0.415401696246719
221	0.500029374005542	0.366507080179731	0.223575858324373	0.286439297317459	0.469749079379756	0.461836792927727	0.463652304569842	0.466942850781371	0.456209248017099	0.41549712238166
231	0.500287293227877	0.259378688902547	0.160090114136206	0.16379064911709	0.469806932637521	0.403366183856001	0.325663144404753	0.228110624791677	0.187847136933121	0.331622177093725
241	0.494856920831806	0.183717817519887	0.120545068029253	0.184266281440596	0.467627362639938	0.402601268180572	0.324864555519065	0.22475026794769	0.194383901415422	0.403492906567463
251	0.492857916276768	0.183717817519887	0.118923465306091	0.219718645687598	0.466133804044214	0.401628739102198	0.324488322334061	0.224850821383771	0.206793047260446	0.452723944067828
261	0.488887283993921	0.183717817519887	0.119909194331652	0.276798759072062	0.459140415349119	0.39227518573037	0.316134642576489	0.220564388569021	0.0857897876031097	0.158064574660564
271	0.48733376882978	0.183717817519887	0.119909195231474	0.276798433783183	0.45801131855814	0.390285517057934	0.313256839937318	0.218213497044496	0.0824394003923676	0.157868798410346
281	0.346636830175057	0.0150721163655587	0.065965053404872	0.278455723760617	0.23342765821919	0.149836316505658	0.0967926514289665	0.0865561998850036	0.0650744202690265	0.101146841707632
291	0.346089509349146	0.0150721163655587	0.0658903630679373	0.289324951860849	0.23323669233528	0.149732983353211	0.096329719357468	0.085779314098801	0.0648659332311115	0.101616605485395
301	0.30242052277904	0.0150721163655587	0.065890361811012	0.212687944785382	0.20541984365957	0.134911746952914	0.0924999508658781	0.0856520960968119	0.0648657423495246	0.10161316292873
311	0.164545244467957	0.0150721163655587	0.0658903609531168	0.165096711650065	0.103376490513237	0.0634752381204507	0.042548657296455	0.0387567265052909	0.033678671026673	0.0393848866110582
321	0.164545244467957	0.0150721163655587	0.0647111901018541	0.183124331916124	0.103010346881851	0.0629056326680997	0.0412777280541797	0.0342982596886262	0.0304320046396486	0.0501263977271402
331	0.164473222759822	0.0150721163655587	0.0698912552740429	0.318963153936353	0.102993622362036	0.0629039205062416	0.0412777022830972	0.0342980079548088	0.0304408731315522	0.050777984042466
341	0.160125549195706	0.0150721163655587	0.0779161823268352	0.327012420520204	0.101629202280824	0.062791656616328	0.0412387036425794	0.0342780298566806	0.0304408818649459	0.0458481982220378
351	0.159020058892841	0.0150721163655587	0.0322500441866737	0.262782029688323	0.101373229513099	0.0628573061716296	0.0413501323795863	0.0342897884482987	0.0304830911388529	0.0491829567904914
361	0.146015716286471	0.0150721163655587	0.0322512813353307	0.26275992036282	0.0961247607547885	0.0629015556280467	0.0400774935257316	0.0320584667247513	0.0304854931685187	0.0441528417577643
371	0.141851190252436	0.0150721163655587	0.0314009047304077	0.262631616142984	0.0925351663481468	0.0602793303912709	0.0387786282945286	0.0319500078060342	0.0301913273878348	0.0358118450307236
381	0.141851190252436	0.0150721163655587	0.0314254015689249	0.261002853409625	0.0925351515107875	0.0602790799028813	0.0387781478894548	0.0306802785273585	0.0301881709888373	0.0357701038517986
391	0.141851190252436	0.0150721163655587	0.0314254269811779	0.134167639450007	0.0925351515107875	0.0602790799028556	0.0387781478866572	0.0306779378863316	0.0301881681358704	0.0357702084895074
401	0.141851190252436	0.0150721163655587	0.0314255057188318	0.121710793949509	0.0925351515107875	0.0602790799028556	0.0387781478866572	0.030670304209204	0.0301881681341133	0.03577020913527
411	0.140101442633329	0.0150721163655587	0.0314255141263512	0.0749172833190282	0.0924041158792397	0.0605137958928434	0.0385558921197656	0.0305693615906274	0.0301881681340039	0.0350459604072139
421	0.140038465532017	0.0150721163655587	0.031425490595687	0.07407267905234	0.0923905703366586	0.060512762525954	0.0385554240421744	0.0305740812360074	0.030188168133956	0.0350478052778339
431	0.140021394691462	0.0150721163655587	0.0314254905984978	0.0731477460754673	0.0923877495379236	0.0605126025290578	0.0385554230424761	0.030573559569004	0.0301881681339545	0.0350478461272619
441	0.140018779378897	0.013052835661369	0.0314254906011731	0.0728364745193341	0.092387364434538	0.0605125845446167	0.0385554229828125	0.0305735596342995	0.0301881681339545	0.0350478463745603
451	0.140018779378897	0.0075360581827794	0.0314254906039789	0.081716251570656	0.0923873644345379	0.0605126065581059	0.0385554229828123	0.0305745191884569	0.0301881681339545	0.0350478463760636
461	0.140018125543123	0.0075360581827794	0.00888181833157642	0.088803533081239	0.092387288364724	0.0605126044480024	0.0385554229779498	0.0305746917014952	0.0301881681339545	0.0350478463760543
471	0.0826581374320559	0.0075360581827794	0.00888181810158002	0.084802714088853	0.056149856756588	0.0405041460428798	0.0323210634266308	0.0302010060138704	0.0301881681339545	0.0344503183198093
481	0.0826581374320559	0.0075360581827794	0.00888181810171326	0.085552646795579	0.0561470819982212	0.0404827134176565	0.0322957507902743	0.0301979860791126	0.0301881681339545	0.0344830556897147
491	0.082657860540907	0.0075360581827794	0.00888181810208566	0.0941339287506281	0.0561470588900515	0.0404827129515429	0.0322957506418866	0.0301979857827023	0.0301881681339545	0.0344833534971658
501	0.082657860540907	0.0075360581827794	0.00888181810222162	0.0878608631060373	0.0561470572734302	0.0404827128838877	0.0322957506417989	0.0301979864640332	0.0301881681339545	0.0344833553015403
511	0.082217154675672	0.0075360581827794	0.0107485415469903	0.0626096904212807	0.0556012601072559	0.0400110477163004	0.0321523962816857	0.0301960195404422	0.0301865674405889	0.0356602914102648
521	0.078325815177481	0.0075360581827794	0.0115166320602484	0.0418060738030582	0.0519456789219247	0.0373991044205092	0.0312144398173062	0.0301616821004523	0.0301451590221582	0.0302452279010989
531	0.0750153913847516	0.0075360581827794	0.00713177107138247	0.0381521842861251	0.0492467736689405	0.0359684243960435	0.0309089718486593	0.0301566310602133	0.030145148938753	0.0302024290829992
541	0.0741374469784901	0.0075360581827794	0.00734638690192695	0.0189924178092995	0.048502922733702	0.035565977238808	0.0308194575987149	0.0301549824607759	0.0301442327323617	0.030192585790685
551	0.0740384755357538	0.0075360581827794	0.00700520293368398	0.128064604003487	0.0484517878373442	0.0355553507757884	0.0308198819979193	0.0301550012556401	0.0301442327317205	0.0301977220295684
561	0.0736666402863298	0.0075360581827794	0.00493973898105707	0.128277322019819	0.0482616962170526	0.0355040821660718	0.0308162209870808	0.0301549979980928	0.0301442327316094	0.0301940104293238
571	0.0738126643892498	0.0075360581827794	0.00493852772492407	0.0960664772340142	0.0482978439003091	0.0355064392616565	0.0308160825435724	0.0301549969426017	0.0301442327316091	0.0301939348552074
581	0.04614763311503	0.0075360581827794	0.00514001894138135	0.0987626665496926	0.03494062486449	0.0310782407495211	0.030213258557375	0.0301446241891824	0.0301442327313804	0.0301504775592911
591	0.0398917371430635	0.0075360581827794	0.00513997385314531	0.0957669505291047	0.0331016526944448	0.0307696958116249	0.0301984139393998	0.0301446162294007	0.0301442327314861	0.0301565219336112
601	0.0361583609220311	0.0075360581827794	0.00437935771600701	0.095692539601336	0.0316416155825624	0.0304069854797949	0.0301650396560298	0.0301443594091462	0.030144232731486	0.0301506753455809
611	0.0361583510318257	0.0075360581827794	0.00439169773212351	0.0959945823849197	0.0316416151481462	0.0304069850502178	0.0301650406840643	0.0301443594649903	0.030144232731486	0.0301506821820128
621	0.0335871626456434	8.62248033322163e-17	0.00439171033400812	0.106928356283483	0.0310991006092698	0.0303388833682633	0.0301624276511991	0.0301443547288862	0.030144232731486	0.0301506007420809
631	0.0329239346093445	8.62248033322163e-17	0.00439171066108256	0.106596150197486	0.0309636774610684	0.0303268191840798	0.0301625966233431	0.0301443567519099	0.030144232731486	0.0301506447727583
641	0.0311294817373358	8.62248033322163e-17	0.00432537580234041	0.100137758372951	0.0303352803535748	0.0301705692847105	0.0301456873276494	0.0301442362414547	0.0301442327311176	0.0301444725090946
651	0.0311046677394888	8.62248033322163e-17	0.00432627926280455	0.102513742479263	0.0303328624364074	0.0301710275479553	0.0301457405719218	0.030144236186796	0.0301442327311175	0.0301446325199806
661	0.0311046677394888	8.62248033322163e-17	0.00432625131608391	0.102994812951808	0.030332862476154	0.030171027953138	0.0301457407673889	0.0301442361876585	0.0301442327311175	0.0301446338438218
671	0.031015925938548	8.62248033322163e-17	0.00432634631192267	0.102947313878121	0.0303258508894004	0.0301709358451807	0.0301457382596155	0.0301442361739026	0.0301442327311175	0.0301446331210576
681	0.0308161221041734	8.62248033322163e-17	0.00379803204010174	0.103504279476228	0.0302561005207692	0.0301558052208173	0.0301445817467068	0.0301442330372507	0.0301442327311175	0.0301442694290978
691	0.0308098573840669	8.62248033322163e-17	0.00380279088390254	0.103766853658958	0.0302556216420144	0.030155869952472	0.0301445863877242	0.0301442330387865	0.0301442327311175	0.0301442734107939
