k	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
1	1	1	1	1	1	1	1	1	1	1
11	1	1.00342627111022	0.998046616145698	1.04056638277086	1	1	1	1	1	1.00004639237084
21	1	1.00342627111022	0.99813543570419	0.999322426124955	1	1	1	1	1	0.991142332511079
31	1	1.00342627111022	0.998135457787274	1.03359038172429	1	1	1	1	1	0.991079976165817
41	1	0.92380271940837	0.925082934706032	1.03193764350117	1	1	1	1	1	0.975111244459266
51	1	0.805883462693917	0.796815866401993	0.948767990237002	1	1	1	1	0.969160499443577	0.870248976224342
61	0.867589337346018	0.698763564338913	0.674013622012554	0.782772551264468	0.85262652738511	0.821500317075362	0.781005243634354	0.745699170219003	0.724134933024445	0.691384507413419
71	0.867589337346018	0.582788984527743	0.520747139572983	0.665646598589689	0.85262595050972	0.821487388763608	0.780957558583198	0.745762124453073	0.725254974786483	0.696886787174374
81	0.839471963659002	0.572814750120218	0.508249849208525	0.650556297948966	0.834429555763711	0.812783799863547	0.779454908303754	0.731879998545738	0.681782579609586	0.618129252181334
91	0.770510998513237	0.574520470519261	0.47102936190438	0.586463999676812	0.745733477903386	0.727910204988968	0.716960905459558	0.697001860166802	0.674877649499345	0.616849348725566
101	0.770510998513237	0.573286047190714	0.371740079147573	0.522381081735615	0.745708299132283	0.727879046486266	0.716952779271926	0.694378174427847	0.651104121595637	0.589322164146794
111	0.770510998513237	0.441085729505523	0.305753438318346	0.397167960651915	0.745708299132281	0.701117106353474	0.623890552231524	0.542698391499929	0.47073321735245	0.493500538722937
121	0.729828603220709	0.402081782380788	0.2763330231562	0.324385372731703	0.719044393908416	0.685242065997651	0.615228323440796	0.539369154215788	0.470551623958732	0.485595812742243
