k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
1	0	0	0	0	0	0	0	0	0	0	0.281591460934644	0.1670440448386	0.162171899484265	0.161676014606951	0.265676112716667	0.251922865750794	0.23764260868215	0.22566581925874	0.221452719368296	0.232124553222579
1001	0.010150514	0.0568116620000001	0.016087539	0.043299592	0.014339607	0.01191731	0.011472664	0.01112776	0.010911468	0.01134068	0.171449516505936	0.0929601341453422	0.095507703904256	0.091396501346354	0.16125023944764	0.151105613164311	0.141002934879037	0.14599864747851	0.213545875566496	0.354802183011545
2001	0.017791424	0.0941397670000002	0.027956858	0.07588427	0.025399505	0.021474589	0.020752	0.020475186	0.020130755	0.020629622	0.142573855694562	0.0794428718113256	0.0770277818789162	0.0776449705726655	0.137256581196253	0.135379415530655	0.136706470688547	0.150312934420698	0.176697340663921	0.165211875233421
3001	0.0243329	0.124111679	0.038328352	0.105743432	0.0351345320000001	0.0302152379999999	0.029189879	0.028703964	0.028337122	0.0288062350000001	0.120701129928732	0.0544606925430206	0.0552654410949208	0.0507575033591331	0.114876833524229	0.110309542877562	0.0972350501703017	0.082707997706154	0.0933573026520665	0.116075602264909
4001	0.030308084	0.152940155	0.0482148980000001	0.13355054	0.044218848	0.0382350209999999	0.037054254	0.036481816	0.036058612	0.0364220280000002	0.0767088632322224	0.0362394096674636	0.031957717636973	0.0342179885902542	0.0673067890500899	0.0600575593456728	0.0571180314656128	0.0443051444765275	0.0470182712575153	0.0784500592956469
5001	0.0368235920000001	0.182247309	0.058998895	0.161468899	0.0542868749999999	0.0472634689999999	0.045769276	0.0449470469999999	0.0446113679999999	0.0449388820000001	0.0593274288655336	0.0279971407299523	0.0215473062091816	0.0278356091625826	0.0525565964778319	0.0485173335185281	0.0434820764687821	0.0377363162409819	0.0396549164544367	0.079336750711038
6001	0.0436451140000001	0.213518103000001	0.0701126550000002	0.189902754	0.0645824679999999	0.05636573	0.0547720879999999	0.0537986179999999	0.0533780219999999	0.0537217430000001	0.0457766372477624	0.0339549766859918	0.021597839356435	0.0281495284824022	0.04310425159167	0.0397175962610936	0.0350281137121883	0.0324664050629669	0.0384230276790861	0.0874812761694787
7001	0.0502949890000002	0.244157139000001	0.0811038150000001	0.216697884	0.0748293049999997	0.065434756	0.0634558729999997	0.062461582	0.0620577749999998	0.062391535	0.0389071433075761	0.0235630295146118	0.013449403273912	0.0199252569215356	0.0353206766753194	0.0330661070847104	0.031222827156258	0.030204341528642	0.0336043040250455	0.110813790313945
8001	0.0563842300000002	0.271840055000001	0.0912014460000002	0.241570275	0.0841022659999998	0.0738629110000001	0.0714771229999996	0.0704896870000001	0.0700158889999998	0.070307056	0.0368227973579659	0.0257921732853045	0.0140587958819353	0.0149249429416736	0.0343681147048503	0.032412523602823	0.0319000042720145	0.031500813388611	0.03637775333296	0.0931825571045982
9001	0.0627646100000002	0.304418468000001	0.102046488	0.266075831	0.0938503939999997	0.0824984540000002	0.0798116399999996	0.0788166710000001	0.0783685479999997	0.0786404169999998	0.0304619387514472	0.0223115335019019	0.0142570727095008	0.0180889134469245	0.0282953638605265	0.0280594216080569	0.0272003767687145	0.0260024501889128	0.0262586805670045	0.0809811011797635
