k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
1	0	0	0	0	0	0	0	0	0	0	1	0.947052236121493	0.952206446390908	0.953103843367527	0.991194705912647	0.98002409686946	0.969158931715958	0.960949389207608	0.960816079023786	0.979882141272711
11	0.000393159	0.004766516	0.000578144	0.002932381	0.00066598	0.000329459	0.000434139	0.000261162	0.000326057	0.000411834	1	0.947055180741613	0.960249249818807	0.949489555185972	0.991194607315116	0.976107435498027	0.95759850934361	0.942905507053111	0.942188755038073	0.983138631508854
21	0.000583251	0.005038049	0.000792819	0.003387351	0.000886523	0.000470735	0.000581768	0.000405158	0.000493049	0.000546284	0.997668686396483	0.907080354559236	0.919910253839682	0.909621717894331	0.984029568606826	0.963717937036542	0.939955249207359	0.91484517538194	0.905078893342688	0.948903658927032
31	0.000741626	0.005285534	0.000981768	0.003611964	0.001113356	0.000649907	0.000711047	0.000519355	0.00065249	0.000687527	0.997668686396483	0.904366620986646	0.919867626432424	0.906915588791221	0.98402941051956	0.963713276435894	0.939926755238975	0.91476533194093	0.905025741311267	0.949759640869109
41	0.000816931	0.005405783	0.001118563	0.003720856	0.001255053	0.000766256	0.000828708	0.000632937	0.000765999	0.000799195	0.997668686396483	0.853904089898396	0.87070106013651	0.85782752484621	0.98402941051956	0.963713276435417	0.939926755070997	0.91476532366952	0.905025698745818	0.939413793750771
51	0.000917455	0.005665553	0.001300362	0.0039625	0.001390734	0.000874191	0.000933058	0.000742355	0.000873644	0.000979153	0.997668686396483	0.831661711075382	0.847703143876744	0.83429335566278	0.985059759694206	0.965529215319085	0.940967881344202	0.91075666240579	0.885268299925755	0.903786539366599
61	0.001004125	0.005793339	0.001461603	0.004101469	0.00152442	0.000989539	0.001045172	0.000882777	0.000982666	0.001087471	0.997668686396483	0.792633108565214	0.815659692462102	0.801598133315574	0.985572032173365	0.966559632727909	0.942312430159662	0.912046109573702	0.885376053830513	0.905439536933911
71	0.00110287	0.006045762	0.00160591	0.004241387	0.001650741	0.001100497	0.001151748	0.000986583	0.001092553	0.001203117	0.997668686396483	0.746784442645064	0.763039192655171	0.748336749738453	0.979806057960264	0.954267003162097	0.924691936273412	0.900344927441834	0.882354502889044	0.897575865524484
81	0.001182856	0.006227955	0.001743412	0.004498798	0.001769998	0.001206593	0.001254953	0.001091195	0.001194045	0.001306672	0.997668686396483	0.734136629503882	0.75119589244862	0.735718831627687	0.979806057941372	0.954266994928392	0.924691734318951	0.900343961039889	0.882355109419588	0.881111522358848
91	0.001264165	0.006340989	0.001873679	0.004659127	0.001886993	0.001311222	0.001357903	0.001196093	0.00129533	0.001413939	0.997668686396483	0.681536091280118	0.699856386954275	0.683240113100563	0.979806057941372	0.954266994928391	0.924691734317759	0.900343960938613	0.870509537672848	0.846484421184733
101	0.001382439	0.006447042	0.002077034	0.004808553	0.002059108	0.00147572	0.00151541	0.001347467	0.001448301	0.001587295	0.997668686396483	0.648127819247946	0.671102409426879	0.649814941528494	0.979806057941372	0.942782790713892	0.890704503578963	0.842557320676121	0.792012513297875	0.779302491128876
111	0.001470516	0.006717462	0.00222421	0.005027318	0.002186247	0.001586036	0.001622399	0.001455063	0.001557158	0.001700651	0.997668686396483	0.631490767879539	0.646271562635383	0.633222218551806	0.979806057941372	0.942306841080056	0.889656288920698	0.841142570602555	0.792799312578329	0.798005930040799
121	0.001545378	0.006829119	0.002361064	0.005153341	0.002300167	0.001690771	0.001723324	0.001556994	0.001657052	0.001801083	0.984216730152773	0.631728731191143	0.636922968278453	0.631282729696233	0.962229090408659	0.926680728145552	0.882169030246765	0.842251898587245	0.796135450796961	0.781198924162489
131	0.001627543	0.006944023	0.002490032	0.005286922	0.00242525	0.001804982	0.001835365	0.001666661	0.001759541	0.001900788	0.984216730152773	0.629842206492905	0.634405787531013	0.629487029938788	0.962229090399313	0.926680730183242	0.88216926911501	0.84225603412858	0.796144726788444	0.779808671787976
