k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
1	0	0	0	0	0	0	0	0	0	0	1	0.950631337749921	0.947167855154685	0.947430618737034	1	1	1	1	1	1
11	0.000365383	0.004159067	0.000481311	0.002233318	0.000563095	0.000375539	0.000251481	0.000288472	0.000314812	0.000335394	1	0.831689865393187	0.843051151460307	0.841954767853505	1	1	1	1	0.966761689389622	0.897995833726282
21	0.000555871	0.005380243	0.000734638	0.003054025	0.000911947	0.000617491	0.000396403	0.000419718	0.000501087	0.000541094	1	0.746065409956967	0.769128562233162	0.736368019487408	1	1	1	1	0.955756765904302	0.859509840587122
31	0.000831502	0.00662614	0.001332732	0.003750225	0.001400208	0.000834505	0.000671832	0.000731879	0.000689112	0.000687374	1	0.711559974920094	0.804241118670538	0.69441463978734	1	1	1	1	0.955746118117332	0.859271297733724
41	0.001063972	0.007574202	0.001529116	0.004483553	0.001647385	0.00096192	0.000843627	0.00096867	0.000858415	0.000840439	1	0.641886720703299	0.778589967223409	0.683624990065193	1	1	0.978169305995375	0.924822446353141	0.753870701080612	0.602604725485445
51	0.001168364	0.008041174	0.001689998	0.004904405	0.001799905	0.001086565	0.000970092	0.001091417	0.000998617	0.000965444	0.991027539467587	0.679406476522692	0.676583404488375	0.681686914491306	0.963530199938234	0.925300108246513	0.839311904383346	0.748516335740418	0.671959706286144	0.584117266354528
61	0.001265154	0.008377436	0.001861752	0.005364281	0.001923518	0.001187466	0.001068002	0.001189374	0.001097126	0.001062999	0.95008033051582	0.621963097831024	0.715692136787872	0.668540239273502	0.901207011222202	0.819948044475971	0.749731627268489	0.678170430344901	0.582400087883436	0.546611797114763
71	0.001387793	0.008876436	0.001997096	0.005792883	0.002108857	0.001355139	0.001169316	0.001317085	0.001196501	0.001161275	0.849554550457617	0.601376740300015	0.673410308797614	0.664418049964102	0.745716150778202	0.657076948854663	0.609814146416052	0.584029297001765	0.560448946804228	0.55481823769356
81	0.001489997	0.009414134	0.002144108	0.006273866	0.002253824	0.001490989	0.001326798	0.001440271	0.001318213	0.001279156	0.804420561913135	0.592592392115834	0.656219375062049	0.668546222860852	0.712789944543315	0.639709626178371	0.602209523609765	0.579753913370212	0.557684941243766	0.551367352092389
91	0.001591199	0.009790574	0.002326226	0.006736758	0.002504315	0.001636438	0.001560558	0.001578976	0.00153503	0.001428933	0.608391547786689	0.239256441409781	0.205927840775544	0.392014889773694	0.583576668706326	0.576911784823593	0.57072632805053	0.596500810564895	0.595665284477445	0.556083854301186
101	0.001679706	0.01045459	0.002473323	0.007082893	0.002673164	0.001751597	0.00166168	0.001676685	0.001632682	0.001530109	0.609137577252889	0.237800099840946	0.174428291763395	0.346219638652266	0.565883418201668	0.533417975484751	0.545562102448974	0.607559690342615	0.601693922842899	0.506870937472093
111	0.001984159	0.011209687	0.002820816	0.007779787	0.002912147	0.001903243	0.001801032	0.001836959	0.001859375	0.001708163	0.583486894808792	0.228036947415409	0.18237089171615	0.320290476001092	0.549984321787982	0.52969593966734	0.536298493198844	0.550359574583103	0.529198655594166	0.483606420463847
121	0.002163731	0.011991713	0.003106762	0.008732214	0.003400267	0.002137991	0.002064473	0.001998898	0.002050757	0.001886686	0.588167736678994	0.181316458994385	0.132192586151456	0.249196541052635	0.561218779525654	0.542648785018066	0.529113920837293	0.512783469027833	0.439493956064167	0.29731483068607
131	0.002401688	0.013405232	0.003493267	0.00970014	0.003717653	0.002486943	0.002297552	0.002250245	0.002245115	0.002166234	0.567352167487018	0.153692000339955	0.0965634788934866	0.233357945421062	0.546494429564388	0.530275388080978	0.522295717713096	0.489666871987288	0.436913494434518	0.309166148684555
141	0.002518549	0.013863846	0.003813508	0.0101744	0.003938845	0.002741612	0.002483847	0.002562723	0.00244862	0.002420394	0.537694938585241	0.132350268654937	0.116577140394387	0.230404705604072	0.530140826298569	0.523281222718597	0.489091408562278	0.473731637986029	0.432962567704661	0.321920649363963
151	0.00266934	0.014187877	0.004001217	0.010618352	0.004130156	0.002884129	0.002630979	0.002706573	0.002644567	0.002552006	0.525958936093688	0.109967661256144	0.0792352078219325	0.199515031028753	0.522527772669792	0.517875037772463	0.483459876133903	0.465370016388428	0.395490319039331	0.292426131817168
161	0.002830113	0.014709158	0.004140876	0.010940042	0.004265581	0.00299641	0.002738215	0.002834018	0.002748874	0.002656052	0.514039283624021	0.0924062797910044	0.0725134888169896	0.19001144131219	0.506887472365176	0.492605211908758	0.462960329361505	0.428849768376936	0.350541334764725	0.292261069941857
171	0.002901571	0.014968425	0.004259806	0.011186671	0.004366621	0.003089719	0.002826411	0.002923425	0.002837286	0.002744463	0.531858431123781	0.0991840616388239	0.0727666832613848	0.178181233561299	0.51922544487979	0.49341516528942	0.467003962529039	0.422888552460236	0.335633461678173	0.271550183312538
181	0.002970777	0.015227263	0.004375567	0.011430843	0.004465538	0.003177237	0.002913145	0.003008882	0.002921514	0.002829989	0.521953071611682	0.0997386674524979	0.0685136918486268	0.143802096740174	0.512906724311586	0.482266910168457	0.4252763701995	0.387389916038123	0.315251647973061	0.256118299676102
191	0.003079411	0.015471812	0.004507282	0.011694515	0.004580278	0.003263783	0.003000668	0.003094666	0.003038603	0.002914154	0.533981529144449	0.0969458251867863	0.0758201578454121	0.133983472847564	0.525022322318463	0.476863738064935	0.418263058812107	0.374786559716688	0.29316296853817	0.215343038105101
201	0.003146072	0.015762644	0.004615677	0.011837807	0.004673286	0.003346656	0.003080322	0.003174924	0.003117454	0.002993149	0.510423902987217	0.0736646577494227	0.0548110330039082	0.148190202033346	0.499564628953986	0.438089351708609	0.376721486944555	0.322494701375208	0.250222371251207	0.187203120460696
211	0.003224087	0.016025291	0.004728105	0.012182782	0.004775431	0.003433745	0.003159515	0.003254601	0.003242504	0.003077366	0.505441639469003	0.0711157803442322	0.0696753610550464	0.157550358320793	0.496779720447704	0.435590854066105	0.37307483683054	0.307038864648489	0.245201293107431	0.187441335965154
221	0.003311535	0.016275151	0.004864889	0.012460009	0.004886375	0.003530024	0.003251804	0.003347685	0.003335367	0.003168998	0.509133712121893	0.0703025565207979	0.064360813021477	0.144406524030318	0.497950884714559	0.43719818578587	0.374572898667164	0.308242729345063	0.245521395082371	0.186852192711741
231	0.003394589	0.016528966	0.005020844	0.012714187	0.005045355	0.003645155	0.003406112	0.003552299	0.003433675	0.003263525	0.516890476157181	0.0676372193279747	0.0402323560624232	0.0925701577777458	0.506122174109206	0.438632582590597	0.350398655730938	0.293888998163865	0.242098426039125	0.174072988536757
241	0.003476848	0.016959729	0.005154189	0.012985041	0.005169846	0.003749802	0.003509077	0.003654085	0.003529908	0.003359986	0.518794149177389	0.0495301403896707	0.0513320901620333	0.0915878525067925	0.510405792301685	0.424788103715699	0.349622601891103	0.296848257344007	0.24000070032876	0.171397200216599
251	0.003549203	0.017211415	0.005274422	0.013212434	0.005272862	0.003842701	0.003599903	0.003761103	0.003619513	0.003451301	0.518042928938042	0.0509915618510998	0.0337618954373168	0.0861234153414663	0.501051702110086	0.413903023123725	0.343789129911927	0.294417681656456	0.239094757567547	0.171763089610915
261	0.003643466	0.017389488	0.005432287	0.013778749	0.005402665	0.003950434	0.003703701	0.003859865	0.003708823	0.003541097	0.456385016353933	0.0392087952995495	0.0292842986537536	0.0859672080907568	0.428450664215482	0.357725790418994	0.30183315396216	0.256084010173298	0.220646853023382	0.169227115426474
271	0.003773961	0.017895533	0.005626912	0.014124636	0.005563608	0.004064659	0.00383105	0.003989705	0.003818188	0.003651869	0.481021571919482	0.0288139883665329	0.0210131408750859	0.0577250970276753	0.432823729962066	0.358977999331828	0.299342953024453	0.247202070372965	0.20436374262565	0.151672994773327
281	0.003979933	0.018388849	0.005869461	0.014909376	0.005808734	0.004223329	0.003962897	0.004125419	0.003965988	0.003797229	0.472721730946242	0.0289245952834438	0.0195877329079884	0.0533162287965049	0.427525198873866	0.356599495181636	0.299455120616732	0.248897872526136	0.207420961219309	0.154834806911925
291	0.004463494	0.018972896	0.006240879	0.015646809	0.006114916	0.004404884	0.004155948	0.004340056	0.004297119	0.004101974	0.477053328338582	0.0262101063896509	0.0185114764790235	0.0511874299363603	0.42811368305056	0.355899878495281	0.297130531629813	0.245649742610551	0.205246971435751	0.152835138518209
301	0.004668929	0.019529292	0.006543475	0.016157326	0.006510369	0.00478635399999999	0.004483095	0.004539697	0.00447779	0.004310088	0.434775956855033	0.0280380969940547	0.0161445586540505	0.0167298313820464	0.378923081632399	0.320080508637057	0.272059019515122	0.229707374107676	0.190226036228395	0.140416868201168
311	0.004774862	0.020107554	0.006805308	0.016600229	0.006724858	0.00493557399999999	0.004626007	0.004690265	0.004625307	0.004479353	0.421296270822589	0.0330259607106109	0.016089648681978	0.0164093901182824	0.372230095901339	0.323766554458042	0.277261245494644	0.234851664791575	0.204093435752599	0.166994837454191
321	0.005018481	0.020538558	0.007332874	0.017217177	0.006992517	0.00511176599999999	0.004826451	0.004851014	0.005002741	0.004878515	0.376946106471832	0.030111893038743	0.0151211540047232	0.0150347920860291	0.31798231262998	0.277052960286394	0.236014544069009	0.198138921340885	0.168984263074253	0.145418852949081
331	0.005182004	0.021202715	0.007701013	0.017990563	0.007282645	0.00540498799999999	0.005065255	0.005013503	0.00512794	0.005018683	0.376717089083355	0.030111893038743	0.0107260491830308	0.0175266964579873	0.317798397420718	0.277132097340914	0.236035886619275	0.197919360545314	0.1682655878097	0.1443151452701
