k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
1	0	0	0	0	0	0	0	0	0	0	1	0.44650410063157	0.356923464064546	0.296123496802289	1	1	1	0.919506348676957	0.701648685770173	0.366883600750697
11	0.000184971	0.004173106	0.000272117	0.001886253	0.00031429	0.000172607	0.000202965	0.000164563	0.000194247	0.000155779	0.594657194950068	0.441351577058525	0.153732406147704	0.12541452643255	0.49970626775046	0.362550258545597	0.279688326232706	0.278325046766409	0.299209963475632	0.229224297992134
21	0.000365945	0.005177356	0.000454171	0.002337588	0.000511012	0.000308761	0.000367121	0.000295793	0.000341175	0.000283393	0.570134925759706	0.307864601301222	0.187459236448997	1.42450164512947e-11	0.430259061224436	0.258768088864451	0.203484678075655	0.277827854880302	0.334199903378644	0.286563676377461
31	0.000486262	0.005866958	0.000610032	0.002585253	0.000659575	0.000437604	0.000488944	0.000431538	0.000452115	0.000497743	0.22062739974606	0.0749211005872401	0.000891885034939382	5.86945696002761e-12	0.140251502212053	0.114313498176115	0.0908788642561651	0.053203684762624	0.021657468018724	0.00797226841440158
41	0.000565823	0.00646874	0.000748072	0.00265961	0.000780715	0.000549946	0.000607288	0.000535982	0.000605767	0.000603704	0.098398055566749	0.0240179020272391	1.74074464803928e-07	6.22028247265861e-13	0.107814428617178	0.092839670137208	0.0702032538472284	0.0344177401678509	0.00633362289372667	0.000416786404645064
51	0.000666396	0.006949042	0.000896725	0.002745337	0.000896125	0.000656877	0.00072132	0.000642312	0.000707829	0.00070749	0.103076619633283	0.0179543764875673	1.57591896721527e-07	5.6319939048395e-13	0.118026551772355	0.103085267742601	0.0790356321084085	0.0379076106740585	0.00550873283088389	0.000507639397638826
61	0.000754097	0.007444232	0.001061014	0.002814252	0.001018212	0.000754731	0.000812281	0.000734811	0.000799398	0.000799153	0.0737575306044555	0.0170615097511038	1.24845633473922e-07	4.46045828220534e-13	0.0776857058971513	0.068158516049433	0.053281869478919	0.0181175565780265	0.00510971749113338	0.000293076736302214
71	0.000832679	0.007996772	0.001257435	0.002953905	0.001136708	0.000845016	0.000900627	0.000845767	0.000925593	0.000912232	0.06268301391129	0.0168565137328577	9.3649474691214e-08	3.34812880680706e-13	0.0622014824861467	0.0490444513939151	0.0243454169112716	0.0163374931676484	0.00506332507708677	0.000121682494251079
81	0.000931256	0.008815744	0.001422593	0.003041083	0.001343012	0.001001616	0.001024961	0.000958124	0.001032962	0.001024946	0.0395203880399739	0.0168278253801065	5.07642755088102e-08	1.81750542436409e-13	0.0384237502145214	0.029898743767701	0.0223099437418589	0.0163116497856002	0.00506695170542198	9.55608534040785e-06
91	0.001028851	0.009534621	0.001596999	0.003229921	0.001568053	0.001165628	0.001137304	0.001066273	0.001140883	0.00118924	0.0143495528937	0.0036391689561147	4.48920959394929e-09	1.60450663343597e-14	0.0132958497129256	0.00979983802272984	0.00639049216889539	0.00518152337719642	0.00146884225984795	6.64328205789939e-07
